District,Latitude,Longitude
Adabor,23.7693139,90.3528143
"Airport,Biman Bandar",23.846615,90.4004347
Badda,23.7862842,90.4120026
Banani,23.7946976,90.3971412
Bangshal,23.7171142,90.3986728
Bhashantek,23.8088107,90.3895099
Cantonment,23.8255874,90.3781859
Chackbazar,23.7167388,90.3951726
Darussalam,23.7787152,90.3514418
Daskhinkhan,23.8595722,90.4224182
Demra,23.7215126,90.4622839
Dhamrai,23.9174896,90.213731
Dhanmondi,23.7470304,90.3671072
Dohar,23.6178606,90.1171848
Gandaria,23.7022179,90.4244279
Gulshan,23.7897077,90.3929248
Hazaribag,23.7349927,90.3527335
Jatrabari,23.715251,90.417676
Kafrul,23.7909569,90.3731166
Kalabagan,23.7464942,90.3781836
Kamrangirchar,23.7211503,90.3646514
Keraniganj,23.694376,90.33755
Khilgaon,23.7496651,90.4190314
Khilkhet,23.8313208,90.422026
Kotwali,23.7091846,90.4030225
Lalbag,23.7195411,90.38591
Mirpur Model,23.8040407,90.3568172
Mohammadpur,23.7645784,90.3510153
Motijheel,23.7354674,90.4095525
Mugda,23.7320123,90.4278284
Nawabganj,23.6533487,90.1449895
New Market,23.7330295,90.3824953
Pallabi,23.8321249,90.3430436
Paltan,23.7360263,90.4119377
Ramna,23.7429462,90.3846601
Rampura,23.7608343,90.4124136
Rupnagar,23.7768536,90.4350895
Sabujbag,23.7768338,90.4011642
Savar,23.8856891,90.1330275
Shah Ali,23.8054275,90.3466863
Shahbag,23.7403393,90.3919137
Shahjahanpur,23.7394185,90.4206312
Sherebanglanagar,23.7712402,90.3643136
Shyampur,23.6872709,90.4269862
Sutrapur,23.7112395,90.4134827
Tejgaon,23.7636971,90.3706906
Tejgaon I/A,23.760712,90.3986697
Turag,23.8923008,90.3520404
Uttara,23.8766326,90.3607784
Uttara West,23.8719438,90.3744791
Uttarkhan,23.8726109,90.4256499
Vatara,23.8048603,90.4232253
Wari,23.7183541,90.415723
Airport,22.798734,90.299839
Kawnia,22.717793,90.358361
Bondor,22.70221,90.369632
Boalia,24.369486,88.61931
Motihar,24.360491,88.628112
Shahmokhdum,24.395245,88.647241
Rajpara,24.373508,88.572234
Akborsha,NULL,NULL
Baijid bostami,22.389233,91.809057
Bakolia,22.35583,91.844864
Bandar,22.310416,91.801367
Chandgaon,22.39798,91.857446
Chokbazar,22.351774,91.833053
Doublemooring,22.329715,91.807459
EPZ,22.288951,91.776794
Hali Shohor,22.321728,91.786678
Kornafuli,22.581882,92.106856
Kotwali,22.341415,91.826957
Khulshi,22.3589,91.81259
Pahartali,22.365788,91.778227
Panchlaish,22.362187,91.834272
Potenga,22.235202,91.791394
Shodhorgat,22.329819,91.831153
Aranghata,NULL,NULL
Daulatpur,22.863445,89.51673
Horintana,22.795564,89.529562
Khalishpur,22.858132,89.546078
Khanjahan Ali,22.658462,89.758552
Sonadanga,22.824781,89.537969
Airport,24.957995,91.870946
Hazrat Shah Paran,24.905079,91.935578
Jalalabad,24.894929,91.868706
Kowtali,24.888916,91.865371
Moglabazar,24.852134,91.890839
Osmani Nagar,24.719019,91.746581
South Surma,24.821123,91.890388
